merchant_name,day,month,cashback
1С Интерес,2022-01-21 00:00:00,2022-01-01 00:00:00,240.53
1С Интерес,2022-01-22 00:00:00,2022-01-01 00:00:00,399.21
1С Интерес,2022-01-23 00:00:00,2022-01-01 00:00:00,385.44
1С Интерес,2022-01-24 00:00:00,2022-01-01 00:00:00,209.48
1С Интерес,2022-01-25 00:00:00,2022-01-01 00:00:00,361.80
1С Интерес,2022-01-26 00:00:00,2022-01-01 00:00:00,380.77
1С Интерес,2022-01-27 00:00:00,2022-01-01 00:00:00,2163.35
1С Интерес,2022-01-28 00:00:00,2022-01-01 00:00:00,1053.93
1С Интерес,2022-01-29 00:00:00,2022-01-01 00:00:00,534.87
1С Интерес,2022-01-30 00:00:00,2022-01-01 00:00:00,458.59
1С Интерес,2022-01-31 00:00:00,2022-01-01 00:00:00,320.96
4SEASONS,2022-01-03 00:00:00,2022-01-01 00:00:00,34.69
4SEASONS,2022-01-04 00:00:00,2022-01-01 00:00:00,179.63
4SEASONS,2022-01-05 00:00:00,2022-01-01 00:00:00,137.81
4SEASONS,2022-01-06 00:00:00,2022-01-01 00:00:00,103.13
4SEASONS,2022-01-07 00:00:00,2022-01-01 00:00:00,75.56
4SEASONS,2022-01-08 00:00:00,2022-01-01 00:00:00,233.44
4SEASONS,2022-01-09 00:00:00,2022-01-01 00:00:00,348.75
4SEASONS,2022-01-10 00:00:00,2022-01-01 00:00:00,106.88
4SEASONS,2022-01-11 00:00:00,2022-01-01 00:00:00,30.94
4SEASONS,2022-01-12 00:00:00,2022-01-01 00:00:00,83.44
4SEASONS,2022-01-13 00:00:00,2022-01-01 00:00:00,95.63
4SEASONS,2022-01-14 00:00:00,2022-01-01 00:00:00,71.25
4SEASONS,2022-01-15 00:00:00,2022-01-01 00:00:00,540.56
4SEASONS,2022-01-16 00:00:00,2022-01-01 00:00:00,198.04
4SEASONS,2022-01-17 00:00:00,2022-01-01 00:00:00,63.75
4SEASONS,2022-01-18 00:00:00,2022-01-01 00:00:00,18.75
4SEASONS,2022-01-19 00:00:00,2022-01-01 00:00:00,22.13
4SEASONS,2022-01-20 00:00:00,2022-01-01 00:00:00,33.75
4SEASONS,2022-01-21 00:00:00,2022-01-01 00:00:00,113.33
4SEASONS,2022-01-23 00:00:00,2022-01-01 00:00:00,39.38
4SEASONS,2022-01-24 00:00:00,2022-01-01 00:00:00,159.38
4SEASONS,2022-01-25 00:00:00,2022-01-01 00:00:00,73.13
4SEASONS,2022-01-26 00:00:00,2022-01-01 00:00:00,139.13
4SEASONS,2022-01-27 00:00:00,2022-01-01 00:00:00,200.63
4SEASONS,2022-01-28 00:00:00,2022-01-01 00:00:00,138.75
4SEASONS,2022-01-29 00:00:00,2022-01-01 00:00:00,292.88
4SEASONS,2022-01-30 00:00:00,2022-01-01 00:00:00,252.38
adidas,2022-01-26 00:00:00,2022-01-01 00:00:00,172.25
adidas,2022-01-28 00:00:00,2022-01-01 00:00:00,8180.65
adidas,2022-01-29 00:00:00,2022-01-01 00:00:00,9090.06
adidas,2022-01-30 00:00:00,2022-01-01 00:00:00,7576.27
adidas,2022-01-31 00:00:00,2022-01-01 00:00:00,75147.08
Advance,2022-01-07 00:00:00,2022-01-01 00:00:00,375.81
Advance,2022-01-12 00:00:00,2022-01-01 00:00:00,65.63
Advance,2022-01-15 00:00:00,2022-01-01 00:00:00,174.56
AliExpress,2022-01-01 00:00:00,2022-01-01 00:00:00,18.75
AliExpress,2022-01-04 00:00:00,2022-01-01 00:00:00,18.75
AliExpress,2022-01-06 00:00:00,2022-01-01 00:00:00,28.70
AliExpress,2022-01-07 00:00:00,2022-01-01 00:00:00,9.13
AliExpress,2022-01-08 00:00:00,2022-01-01 00:00:00,12.44
AliExpress,2022-01-09 00:00:00,2022-01-01 00:00:00,5.63
AliExpress,2022-01-10 00:00:00,2022-01-01 00:00:00,49.34
AliExpress,2022-01-11 00:00:00,2022-01-01 00:00:00,61.40
AliExpress,2022-01-12 00:00:00,2022-01-01 00:00:00,48.46
AliExpress,2022-01-13 00:00:00,2022-01-01 00:00:00,27.30
AliExpress,2022-01-14 00:00:00,2022-01-01 00:00:00,11.48
AliExpress,2022-01-15 00:00:00,2022-01-01 00:00:00,18.75
AliExpress,2022-01-16 00:00:00,2022-01-01 00:00:00,47.15
AliExpress,2022-01-17 00:00:00,2022-01-01 00:00:00,238.99
AliExpress,2022-01-18 00:00:00,2022-01-01 00:00:00,662.03
AliExpress,2022-01-19 00:00:00,2022-01-01 00:00:00,673.46
AliExpress,2022-01-20 00:00:00,2022-01-01 00:00:00,762.39
AliExpress,2022-01-21 00:00:00,2022-01-01 00:00:00,785.58
AliExpress,2022-01-22 00:00:00,2022-01-01 00:00:00,858.78
AliExpress,2022-01-23 00:00:00,2022-01-01 00:00:00,747.53
AliExpress,2022-01-24 00:00:00,2022-01-01 00:00:00,832.97
AliExpress,2022-01-25 00:00:00,2022-01-01 00:00:00,1233.21
AliExpress,2022-01-26 00:00:00,2022-01-01 00:00:00,1552.01
AliExpress,2022-01-27 00:00:00,2022-01-01 00:00:00,1408.52
AliExpress,2022-01-28 00:00:00,2022-01-01 00:00:00,1960.72
AliExpress,2022-01-29 00:00:00,2022-01-01 00:00:00,1598.66
AliExpress,2022-01-30 00:00:00,2022-01-01 00:00:00,1568.30
AliExpress,2022-01-31 00:00:00,2022-01-01 00:00:00,1175.03
Armani beauty,2022-01-01 00:00:00,2022-01-01 00:00:00,978.09
Armani beauty,2022-01-02 00:00:00,2022-01-01 00:00:00,451.30
Armani beauty,2022-01-03 00:00:00,2022-01-01 00:00:00,346.38
Armani beauty,2022-01-04 00:00:00,2022-01-01 00:00:00,1714.52
Armani beauty,2022-01-05 00:00:00,2022-01-01 00:00:00,490.80
Armani beauty,2022-01-06 00:00:00,2022-01-01 00:00:00,372.63
Armani beauty,2022-01-07 00:00:00,2022-01-01 00:00:00,1205.86
Armani beauty,2022-01-08 00:00:00,2022-01-01 00:00:00,1013.43
Armani beauty,2022-01-09 00:00:00,2022-01-01 00:00:00,819.55
Armani beauty,2022-01-10 00:00:00,2022-01-01 00:00:00,1646.51
Armani beauty,2022-01-11 00:00:00,2022-01-01 00:00:00,304.34
Armani beauty,2022-01-12 00:00:00,2022-01-01 00:00:00,663.44
Armani beauty,2022-01-13 00:00:00,2022-01-01 00:00:00,742.19
Armani beauty,2022-01-14 00:00:00,2022-01-01 00:00:00,1446.10
Armani beauty,2022-01-15 00:00:00,2022-01-01 00:00:00,789.72
Armani beauty,2022-01-16 00:00:00,2022-01-01 00:00:00,1287.83
Armani beauty,2022-01-17 00:00:00,2022-01-01 00:00:00,211.40
Armani beauty,2022-01-18 00:00:00,2022-01-01 00:00:00,1805.80
Armani beauty,2022-01-19 00:00:00,2022-01-01 00:00:00,548.97
Armani beauty,2022-01-21 00:00:00,2022-01-01 00:00:00,515.15
Armani beauty,2022-01-22 00:00:00,2022-01-01 00:00:00,8.19
Armani beauty,2022-01-23 00:00:00,2022-01-01 00:00:00,659.88
Armani beauty,2022-01-24 00:00:00,2022-01-01 00:00:00,350.69
Armani beauty,2022-01-25 00:00:00,2022-01-01 00:00:00,251.48
Armani beauty,2022-01-26 00:00:00,2022-01-01 00:00:00,421.57
Armani beauty,2022-01-27 00:00:00,2022-01-01 00:00:00,925.31
Armani beauty,2022-01-28 00:00:00,2022-01-01 00:00:00,1055.53
Armani beauty,2022-01-29 00:00:00,2022-01-01 00:00:00,605.27
Armani beauty,2022-01-30 00:00:00,2022-01-01 00:00:00,569.07
Armani beauty,2022-01-31 00:00:00,2022-01-01 00:00:00,1172.93
Art Nuvo Palace,2022-01-01 00:00:00,2022-01-01 00:00:00,102.55
Art Nuvo Palace,2022-01-02 00:00:00,2022-01-01 00:00:00,340.59
Art Nuvo Palace,2022-01-03 00:00:00,2022-01-01 00:00:00,181.90
Art Nuvo Palace,2022-01-04 00:00:00,2022-01-01 00:00:00,168.75
Art Nuvo Palace,2022-01-07 00:00:00,2022-01-01 00:00:00,33.05
Art Nuvo Palace,2022-01-08 00:00:00,2022-01-01 00:00:00,26.20
Art Nuvo Palace,2022-01-09 00:00:00,2022-01-01 00:00:00,8.23
Art Nuvo Palace,2022-01-11 00:00:00,2022-01-01 00:00:00,52.73
